,Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
12184,9,1294.9,1,32.66666667,37,1012.233333,0.0,0.006910299,33.31220592,0.0,Nov,2,2,1,2,Returning_Visitor,False,False
4694,1,32.0,0,0.0,13,813.8,0.0,0.030769231,32.43738462,0.0,May,1,1,3,4,Returning_Visitor,True,False
9860,5,110.0,6,1188.5,230,9648.177094,0.004444444,0.015486639,3.359435653,0.0,Nov,2,2,1,2,Returning_Visitor,False,False
7331,9,233.6224044,0,0.0,35,1941.066667,0.01255814,0.02917153,0.0,0.0,Aug,3,2,7,2,Returning_Visitor,False,False
6330,5,34.44242424,0,0.0,103,1843.759347,0.0,,0.0,0.0,June,2,4,1,2,Returning_Visitor,True,False
1718,0,0.0,0,0.0,15,139.8333333,0.026666667,,0.0,0.0,Mar,2,2,6,1,Returning_Visitor,False,False
9678,0,0.0,0,0.0,27,1224.541667,0.0,0.024691358,0.0,0.0,Dec,4,2,1,2,New_Visitor,True,False
6696,2,46.4,0,0.0,8,349.0,0.02,0.08,0.0,0.0,Aug,4,1,1,1,Returning_Visitor,False,False
4208,0,0.0,0,0.0,18,473.75,0.0375,0.046666667,0.0,0.6,May,3,2,6,3,Returning_Visitor,False,False
11971,3,126.5,0,0.0,36,576.8571429,0.005555556,0.01087963,0.0,0.0,Dec,1,1,4,3,Returning_Visitor,False,False
6600,0,0.0,0,0.0,4,44.4,0.0,0.05,0.0,0.0,June,2,10,1,3,Returning_Visitor,False,False
5717,0,0.0,1,322.4,27,1747.7,0.007692308,0.025641026,0.0,0.0,Oct,2,4,5,1,Returning_Visitor,False,False
10070,1,140.5,0,0.0,19,1475.166667,0.02037037,0.043333333,16.9796231,0.0,Nov,3,2,2,10,Returning_Visitor,False,False
5847,0,0.0,0,0.0,31,631.0857143,0.012903226,0.02078853,0.0,0.0,June,2,2,8,1,Returning_Visitor,False,False
5565,4,54.2,1,33.2,64,1324.68,0.0,0.003864734,0.0,0.0,June,2,2,1,4,New_Visitor,False,False
1426,1,10.0,0,0.0,23,660.8166667,0.0,,0.0,0.0,Mar,2,4,1,3,Returning_Visitor,True,False
11522,1,26.5,0,0.0,6,110.0,0.066666667,,0.0,0.0,Nov,3,2,1,2,Returning_Visitor,False,True
6577,0,0.0,0,0.0,5,0.0,0.2,,0.0,0.0,Jul,3,2,3,1,Returning_Visitor,True,False
5222,4,183.0,3,48.0,34,2141.4,0.005405405,0.021621622,0.0,0.0,May,2,2,1,4,Returning_Visitor,True,False
3539,0,0.0,0,0.0,2,203.0,0.0,0.1,0.0,0.0,May,2,2,1,3,Returning_Visitor,False,False
8762,0,0.0,0,0.0,44,1924.505952,0.0,,59.21256014,0.0,Nov,2,2,3,6,Returning_Visitor,False,True
9640,2,40.5,1,4.0,19,472.5416667,0.0,0.005,0.0,0.0,Nov,1,1,4,2,Returning_Visitor,False,False
2182,0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,May,3,2,3,1,Returning_Visitor,False,False
5474,1,26.2,0,0.0,4,106.8,0.0,0.04,36.66178288,0.0,Oct,2,2,2,5,New_Visitor,False,True
5606,2,9.6,3,118.1,10,184.1,0.0,0.035714286,0.0,0.0,June,2,2,8,4,Returning_Visitor,False,False
5791,0,0.0,0,0.0,31,485.6333333,0.019354839,0.038709677,0.0,0.0,Jul,2,2,1,4,Returning_Visitor,False,False
4154,1,70.0,0,0.0,24,496.6666667,0.0,0.002173913,0.0,0.0,May,1,1,1,2,New_Visitor,False,False
747,3,12.0,1,24.0,3,5.333333333,0.033333333,,0.0,0.0,Mar,2,2,1,3,Returning_Visitor,False,False
2300,4,96.5,0,0.0,42,2172.333333,0.0,0.01124031,35.2339845,0.0,May,2,2,4,2,Returning_Visitor,False,False
6651,0,0.0,0,0.0,15,478.26,0.0,0.015384615,0.0,0.0,Nov,2,2,8,20,Returning_Visitor,False,False
784,0,0.0,1,0.0,12,645.9166667,0.0,0.05,0.0,0.0,Mar,1,1,1,2,Returning_Visitor,False,False
898,3,35.0,0,0.0,16,352.0,0.0,,0.0,0.0,Mar,2,2,2,1,Returning_Visitor,False,False
10344,0,0.0,0,0.0,10,1678.333333,0.0,0.02,0.0,0.0,Nov,2,2,1,2,Returning_Visitor,False,False
5636,0,0.0,0,0.0,13,187.0,0.0,0.0,0.0,0.0,Sep,2,5,4,1,Returning_Visitor,False,False
8642,0,0.0,0,0.0,7,61.5,0.028571429,0.085714286,0.0,0.0,Dec,2,4,3,1,Returning_Visitor,False,False
11861,6,165.9487179,2,114.0,42,2016.115385,0.016,,26.65415979,0.0,Nov,1,1,3,2,Returning_Visitor,False,False
7281,2,187.9,4,100.1,29,2107.033333,0.0,,0.0,0.0,Oct,1,1,3,1,Returning_Visitor,False,False
12087,1,30.25,2,0.0,20,543.9583333,0.00952381,,0.0,0.0,Dec,3,2,1,2,Returning_Visitor,False,False
8944,1,19.0,0,0.0,4,296.9166667,0.04,0.04,0.0,0.0,Dec,3,2,1,6,Returning_Visitor,False,False
12193,0,0.0,0,0.0,5,52.66666667,0.04,0.05,0.0,0.0,Nov,3,2,2,13,Returning_Visitor,False,False
10171,1,56.5,1,41.5,87,2504.870761,0.019555912,0.036429937,0.0,0.0,Nov,1,2,1,11,Returning_Visitor,True,False
10527,0,0.0,0,0.0,18,2334.916667,0.011111111,,0.0,0.0,Dec,3,2,1,1,Returning_Visitor,False,False
677,1,19.66666667,0,0.0,14,512.1111111,0.028571429,0.03,0.0,0.0,Mar,3,2,3,9,Returning_Visitor,True,False
5516,0,0.0,0,0.0,11,267.5666667,0.0,0.009090909,7.68745056,0.0,Oct,2,2,1,3,New_Visitor,False,True
1035,0,0.0,0,0.0,3,79.0,0.066666667,,0.0,0.0,Mar,1,1,3,3,Returning_Visitor,False,False
6986,0,0.0,0,0.0,63,2593.808333,0.036507937,0.066666667,0.0,0.0,Jul,3,2,8,20,Returning_Visitor,False,False
5277,3,62.14285714,0,0.0,23,1046.916667,0.0,,17.37391304,0.0,May,2,2,7,1,Returning_Visitor,True,True
10421,2,144.5,0,0.0,7,416.5,0.044444444,0.031111111,0.0,0.0,Nov,3,2,3,8,Returning_Visitor,True,False
116,0,0.0,0,0.0,21,1146.333333,0.0,0.012962963,0.0,0.8,Feb,3,2,1,3,Returning_Visitor,False,False
2573,0,0.0,0,0.0,1,12.0,0.0,0.1,0.0,0.0,May,1,1,4,1,Returning_Visitor,True,False
2567,0,0.0,0,0.0,27,406.0,0.064285714,0.079166667,0.0,0.6,May,3,2,1,3,Returning_Visitor,False,False
9289,0,0.0,0,0.0,2,145.5,0.0,0.05,0.0,0.0,Nov,1,1,3,2,New_Visitor,False,False
8871,0,0.0,0,0.0,28,1425.583333,0.014814815,0.026984127,14.59072178,0.0,Dec,2,4,4,1,Returning_Visitor,False,False
9800,0,0.0,0,0.0,49,2990.3125,0.012244898,,0.0,0.0,Nov,3,2,7,13,Returning_Visitor,False,False
1479,5,102.5333333,0,0.0,74,2396.690316,0.002699055,,15.03328131,0.0,Mar,2,5,6,1,Returning_Visitor,False,False
3093,1,50.33333333,0,0.0,21,586.1892857,0.0,0.005555556,0.0,0.6,May,1,1,1,2,Returning_Visitor,False,False
7697,3,83.4,0,0.0,43,2013.659524,0.0,0.009090909,0.0,0.0,Oct,2,2,1,20,Returning_Visitor,False,False
10460,2,324.5,1,0.0,21,696.225,0.008333333,0.018055556,0.0,0.0,Nov,1,1,4,2,Returning_Visitor,False,False
63,0,0.0,0,0.0,14,706.5,0.0,,0.0,0.0,Feb,2,2,5,4,Returning_Visitor,True,False
7695,4,120.7,0,0.0,5,74.4,0.0,0.022222222,0.0,0.0,Oct,2,2,4,5,New_Visitor,False,False
8732,0,0.0,0,0.0,1,0.0,0.2,,0.0,0.0,Nov,3,2,3,10,Other,False,False
8222,0,0.0,0,0.0,18,230.1666667,0.033333333,,0.0,0.0,Dec,2,2,1,1,Returning_Visitor,False,False
11535,1,0.0,4,154.8333333,224,5209.958128,0.008311643,,0.0,0.0,Nov,1,2,3,2,Returning_Visitor,False,True
8073,3,65.92857143,0,0.0,17,557.6869048,0.0,0.009803922,25.27760515,0.0,Dec,2,2,2,2,Returning_Visitor,False,True
9939,14,352.1071429,2,759.0,64,3660.342875,0.014155251,,9.641067457,0.0,Nov,3,2,3,2,Returning_Visitor,True,True
6424,0,0.0,0,0.0,31,2285.2,0.006451613,0.04516129,0.0,0.0,Nov,2,2,9,1,Returning_Visitor,False,False
6578,0,0.0,0,0.0,23,297.3,0.013636364,0.037207792,10.95661974,0.0,Sep,2,2,3,1,Returning_Visitor,False,True
9947,0,0.0,0,0.0,39,1020.013889,0.005405405,0.014226044,0.0,0.0,Dec,3,2,7,1,Returning_Visitor,True,False
11732,0,0.0,0,0.0,6,12.0,0.033333333,0.133333333,0.0,0.0,Dec,2,2,1,3,Returning_Visitor,False,False
3244,7,85.52916667,3,255.5,45,2996.4875,0.014814815,,2.0905,0.0,May,2,2,3,3,Returning_Visitor,False,False
12175,0,0.0,0,0.0,1,0.0,0.2,,0.0,0.0,Dec,1,1,6,2,Returning_Visitor,False,False
8593,12,651.875,3,20.0,59,3066.695513,0.0,0.010460069,0.0,0.0,Nov,2,2,3,1,Returning_Visitor,False,False
4977,1,14.0,1,38.0,46,1060.451515,0.004444444,0.01558385,0.0,0.0,May,2,2,1,2,Returning_Visitor,True,False
3147,0,0.0,0,0.0,9,138.5,0.022222222,0.047619048,0.0,0.6,May,1,1,2,2,Returning_Visitor,False,False
7161,0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,Jul,1,1,3,4,Returning_Visitor,True,False
7142,3,250.8,2,270.6,20,1424.4,0.0,0.0,31.72080812,0.0,Nov,2,2,5,5,New_Visitor,False,True
9305,0,0.0,0,0.0,8,92.25,0.041666667,0.066666667,0.0,0.0,Nov,3,2,4,13,Returning_Visitor,False,False
9357,0,0.0,0,0.0,24,3181.5,0.002777778,,0.0,0.0,Nov,2,2,1,13,Returning_Visitor,True,False
5786,0,0.0,0,0.0,21,1280.02,0.0,0.019047619,7.232201859,0.0,Nov,2,2,1,20,Returning_Visitor,False,True
2315,3,134.0,0,0.0,5,78.5,0.0,,0.0,0.0,May,2,2,7,2,Returning_Visitor,True,False
3894,0,0.0,0,0.0,68,746.8,0.002941176,,0.0,0.0,May,2,2,1,13,Returning_Visitor,False,False
3857,4,104.5,1,54.0,25,796.3,0.0,,0.0,0.8,May,2,6,1,4,Returning_Visitor,False,False
10220,2,170.0,1,22.0,39,1177.291667,0.002564103,0.01965812,0.0,0.0,Nov,2,5,7,2,Returning_Visitor,False,False
11934,0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,Dec,1,1,1,2,New_Visitor,False,False
8455,4,106.0,0,0.0,6,180.4166667,0.0,,0.0,0.0,Nov,3,6,3,2,New_Visitor,False,False
1163,0,0.0,1,41.0,13,698.0,0.0,0.032142857,0.0,0.0,Mar,2,5,2,1,Returning_Visitor,False,False
9600,0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,Dec,1,2,3,1,Returning_Visitor,False,False
8753,0,0.0,0,0.0,4,54.5,0.1,,0.0,0.0,Nov,2,2,1,10,Returning_Visitor,False,False
6093,0,0.0,0,0.0,8,286.7,0.05,0.075,0.0,0.0,Jul,3,2,1,1,Returning_Visitor,False,False
3954,0,0.0,0,0.0,2,0.0,0.2,,0.0,0.0,May,2,2,3,6,Returning_Visitor,False,False
1436,0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,Mar,3,2,3,1,Returning_Visitor,False,False
3103,0,0.0,0,0.0,6,815.0,0.05,0.044444444,0.0,0.2,May,1,2,1,4,Returning_Visitor,False,False
3767,1,14.0,0,0.0,30,1845.333333,0.027083333,0.042083333,12.6534375,0.0,May,3,2,3,1,Returning_Visitor,False,False
8115,0,0.0,0,0.0,7,87.0,0.0,,0.0,0.0,Dec,8,13,9,20,Other,False,False
11515,0,0.0,0,0.0,96,5947.97123,0.0125,0.028333333,0.0,0.0,Nov,2,2,1,1,Returning_Visitor,True,True
6930,4,62.0,1,87.6,88,3634.585714,0.00556391,0.035701754,1.435224011,0.0,Oct,2,2,1,3,Returning_Visitor,False,False
3984,0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,May,2,2,4,3,Returning_Visitor,False,False
1397,8,87.5,0,0.0,31,496.5833333,0.005405405,0.012612613,3.889459459,0.0,Mar,2,2,7,2,Returning_Visitor,False,True
6520,5,49.2,4,379.0,5,74.6,0.0,,8.326728149,0.0,Sep,2,2,8,2,New_Visitor,False,False
939,4,167.5,0,0.0,22,869.9,0.0,0.026388889,33.53327578,0.0,Mar,2,6,4,10,Returning_Visitor,False,True
207,2,40.0,0,0.0,5,558.5,0.0,0.028571429,0.0,0.0,Mar,2,2,7,2,New_Visitor,True,False
42,0,0.0,0,0.0,15,310.1666667,0.0,,0.0,0.0,Feb,1,1,4,4,Returning_Visitor,False,False
3378,0,0.0,1,12.0,57,2773.166667,0.015517241,,8.325206897,0.0,May,2,2,4,6,Returning_Visitor,False,False
6320,4,118.8,0,0.0,11,805.5,0.0,0.033333333,0.0,0.0,Oct,1,1,9,3,Returning_Visitor,False,False
2052,0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,Mar,2,5,2,3,Returning_Visitor,False,False
6536,6,128.5,1,0.0,32,796.7066667,0.027027027,,0.0,0.0,Nov,2,4,1,1,Returning_Visitor,True,False
3921,0,0.0,0,0.0,15,528.0,0.026666667,,0.0,0.0,May,2,2,4,3,Returning_Visitor,False,False
9833,1,139.5,0,0.0,100,1831.149084,0.0,0.000505051,0.0,0.0,Dec,2,2,3,2,New_Visitor,False,False
11628,3,90.5,0,0.0,15,369.5,0.0,0.025,0.0,0.0,Nov,3,2,2,2,New_Visitor,True,False
4679,5,176.0,0,0.0,15,537.2,0.011764706,,27.664,0.6,May,2,2,2,6,Returning_Visitor,False,True
2341,0,0.0,0,0.0,10,262.5,0.0,0.02,0.0,0.0,May,2,2,5,2,Returning_Visitor,False,False
12098,4,495.1666667,0,0.0,29,988.2595238,0.006451613,,0.0,0.0,Dec,1,1,1,2,New_Visitor,False,False
1204,0,0.0,0,0.0,30,365.4,0.027586207,0.035862069,0.0,0.0,Mar,3,2,6,1,Returning_Visitor,False,False
3940,0,0.0,0,0.0,3,18.0,0.033333333,0.166666667,0.0,1.0,May,3,2,1,4,Returning_Visitor,True,False
9669,5,64.58333333,0,0.0,36,1334.083333,0.0,0.005405405,0.0,0.0,Nov,2,2,3,2,Returning_Visitor,False,False
11949,0,0.0,1,0.0,131,4597.575252,0.006766917,0.028754539,0.0,0.0,Dec,3,2,1,2,Returning_Visitor,False,False
4107,0,0.0,0,0.0,8,623.0769231,0.0,0.010884354,0.0,0.0,May,3,2,4,3,Returning_Visitor,False,False
6975,0,0.0,0,0.0,3,43.4,0.066666667,,0.0,0.0,Sep,1,1,3,4,Returning_Visitor,False,False
345,4,277.75,0,0.0,3,178.75,0.0,0.008,0.0,0.0,Mar,3,2,3,8,New_Visitor,False,False
7853,1,51.4,0,0.0,7,562.3,0.0,0.0,36.65735004,0.0,Jul,1,1,6,2,New_Visitor,True,True
3355,2,50.5,0,0.0,14,689.3833333,0.0,,100.7776,0.0,May,2,2,3,2,Returning_Visitor,False,True
2869,0,0.0,0,0.0,16,507.8333333,0.0,0.01,0.0,0.0,May,2,4,1,4,Returning_Visitor,False,False
8706,2,327.5,0,0.0,7,570.5,0.0,0.028571429,0.0,0.0,Nov,2,2,2,2,Returning_Visitor,False,False
9441,0,0.0,1,35.5,130,3313.455754,0.007633588,0.028972728,0.0,0.0,Nov,2,2,1,2,Returning_Visitor,True,False
5582,0,0.0,0,0.0,4,140.0,0.05,,0.0,0.0,Sep,3,2,1,13,Returning_Visitor,False,False
7611,5,171.9,4,145.1666667,171,4554.692744,0.002259887,0.004062416,0.0,0.0,Sep,2,2,3,2,Returning_Visitor,False,False
1643,5,217.6666667,0,0.0,18,494.6666667,0.0,,33.14514286,0.0,Mar,3,2,1,2,Returning_Visitor,False,True
11151,7,112.375,0,0.0,24,916.5,0.010967742,0.036129032,0.0,0.0,Nov,3,2,3,3,Returning_Visitor,False,False
10389,0,0.0,0,0.0,8,96.0,0.025,0.05,0.0,0.0,Nov,2,4,9,20,Returning_Visitor,False,False
10390,3,118.0,0,0.0,2,96.25,0.0,0.025,0.0,0.0,Dec,8,13,9,20,Other,False,False
5701,0,0.0,0,0.0,43,654.0666667,0.0,,0.0,0.0,Jul,2,2,7,3,Returning_Visitor,False,False
2691,0,0.0,0,0.0,9,228.5,0.022222222,,0.0,0.2,May,3,2,3,3,Returning_Visitor,False,False
4356,0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,May,2,5,2,1,Returning_Visitor,False,False
12328,4,75.0,0,0.0,15,346.0,0.0,,0.0,0.0,Nov,2,2,3,11,Returning_Visitor,False,False
2653,2,45.0,0,0.0,22,1662.733333,0.0,0.03015873,5.997142857,1.0,May,2,2,4,13,Returning_Visitor,True,False
9841,0,0.0,0,0.0,7,43.0,0.085714286,0.121428571,0.0,0.0,Dec,3,2,1,1,Returning_Visitor,False,False
8767,0,0.0,0,0.0,5,23.0,0.11,0.15,0.0,0.0,Nov,2,2,3,13,Returning_Visitor,False,False
3559,0,0.0,0,0.0,2,44.0,0.0,,0.0,0.0,May,2,2,3,6,Returning_Visitor,False,False
7863,0,0.0,0,0.0,2,0.0,0.2,0.2,0.0,0.0,June,3,2,4,13,Returning_Visitor,False,False
6638,7,103.6,0,0.0,72,1933.559259,0.005333333,0.026377261,7.806338478,0.0,Sep,2,2,6,2,Returning_Visitor,False,False
11939,0,0.0,1,0.0,0,0.0,0.2,0.2,0.0,0.0,Nov,1,1,1,15,Returning_Visitor,False,False
8792,6,73.70833333,5,188.0,80,3313.073936,0.022621723,0.059636655,0.0,0.0,Nov,2,2,1,2,Returning_Visitor,True,False
8920,0,0.0,0,0.0,6,111.75,0.0,0.066666667,0.0,0.0,Dec,2,2,1,2,Returning_Visitor,False,False
11233,1,17.0,1,23.75,62,3688.846861,0.016612903,,3.663777878,0.0,Dec,3,2,3,1,Returning_Visitor,True,False
978,0,0.0,0,0.0,7,141.1666667,0.0,0.007142857,0.0,0.0,Mar,3,2,3,1,Returning_Visitor,False,False
7019,0,0.0,0,0.0,7,49.86666667,0.085714286,,0.0,0.0,Sep,1,1,9,3,Returning_Visitor,False,False
8138,0,0.0,1,41.5,98,2400.037843,0.000183655,0.011646771,0.0,0.0,Nov,2,2,1,2,Returning_Visitor,False,True
10822,0,0.0,0,0.0,4,103.5,0.0,,0.0,0.0,Nov,2,2,1,6,Returning_Visitor,False,False
2890,6,66.16666667,2,120.0,204,9143.435714,0.004807692,0.015384615,0.0,0.4,May,2,2,7,4,Returning_Visitor,False,False
8283,0,0.0,0,0.0,2,35.0,0.0,0.05,0.0,0.0,Nov,2,2,1,10,New_Visitor,False,False
2635,0,0.0,0,0.0,2,21.0,0.0,0.1,0.0,0.0,May,3,2,1,3,New_Visitor,False,False
3756,1,18.0,1,16.0,33,504.0,0.006060606,0.033333333,0.0,0.0,May,2,4,1,4,Returning_Visitor,False,False
8963,0,0.0,0,0.0,4,47.0,0.0,0.05,0.0,0.0,Nov,2,2,3,11,Returning_Visitor,True,False
2665,0,0.0,0,0.0,5,116.5,0.0,0.05,0.0,0.0,May,4,2,1,5,New_Visitor,False,False
2922,1,3.0,0,0.0,45,884.3357143,0.001086957,,18.12446087,0.0,May,2,2,1,4,Returning_Visitor,False,False
6924,3,119.0295082,2,696.2,37,1305.527286,0.015384615,0.022135467,6.324477083,0.0,Aug,1,2,8,2,Returning_Visitor,True,True
9568,0,0.0,0,0.0,1,0.0,0.2,,0.0,0.0,Dec,2,2,8,1,Returning_Visitor,False,False
5596,7,68.4,0,0.0,145,5175.377371,0.002666667,0.008978355,2.042762326,0.0,Aug,2,2,1,1,Returning_Visitor,False,True
8179,1,51.5,0,0.0,21,730.15,0.0,0.012121212,0.0,0.0,Nov,2,2,4,2,New_Visitor,False,False
7612,3,230.1,0,0.0,7,381.4,0.0,0.007407407,35.25541691,0.0,Nov,1,1,3,5,Returning_Visitor,False,False
1504,1,5.0,0,0.0,12,306.0,0.0,0.02,0.0,0.0,Mar,2,2,6,8,Returning_Visitor,False,False
9738,0,0.0,0,0.0,19,2177.333333,0.0,0.010526316,0.0,0.0,Dec,2,4,1,2,New_Visitor,False,False
1788,0,0.0,0,0.0,12,130.5,0.0,0.008333333,0.0,0.0,Mar,2,2,1,10,Returning_Visitor,False,False
8133,0,0.0,0,0.0,3,0.0,0.2,0.2,0.0,0.0,Nov,1,1,4,10,Returning_Visitor,True,False
5315,0,0.0,0,0.0,1,68.0,0.0,0.1,0.0,0.0,May,2,2,3,2,Returning_Visitor,False,False
7050,0,0.0,0,0.0,47,1475.366667,0.010638298,0.02674772,0.0,0.0,Nov,1,1,4,1,Returning_Visitor,True,False
8544,0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,Nov,3,2,3,3,Returning_Visitor,False,False
5307,0,0.0,0,0.0,4,992.0,0.0,0.05,0.0,0.2,May,2,2,4,13,Returning_Visitor,False,False
2607,0,0.0,0,0.0,22,431.0833333,0.018181818,0.022727273,0.0,0.6,May,3,2,7,13,Returning_Visitor,False,False
9418,4,98.5,0,0.0,9,281.75,0.0,,0.0,0.0,Dec,1,1,3,2,Returning_Visitor,False,False
3365,5,436.0,0,0.0,7,26.0,0.066666667,0.075,0.0,0.0,May,3,2,2,13,Returning_Visitor,False,False
5657,0,0.0,0,0.0,5,0.0,0.2,,0.0,0.0,Jul,3,2,2,13,Returning_Visitor,True,False
5662,1,11.0,0,0.0,1,0.0,0.0,0.1,0.0,0.0,Aug,2,6,1,3,Returning_Visitor,False,False
1501,0,0.0,0,0.0,4,0.0,0.2,,0.0,0.0,Mar,2,2,3,1,Returning_Visitor,False,False
11901,0,0.0,3,494.0,164,3269.256933,0.006586826,0.012909664,5.873000789,0.0,Dec,2,2,1,1,Returning_Visitor,False,False
1735,2,28.0,0,0.0,6,170.8333333,0.0,0.007142857,0.0,0.0,Mar,3,2,7,1,Returning_Visitor,False,False
1378,1,9.5,0,0.0,25,674.25,0.0,0.017307692,0.0,0.0,Mar,2,2,7,2,Returning_Visitor,False,False
6299,4,228.72,0,0.0,4,154.9,0.0,0.008333333,0.0,0.0,Oct,1,8,1,11,New_Visitor,False,False
8094,8,935.1,1,21.0,172,10524.35936,0.005046115,0.01576463,2.924161864,0.0,Nov,3,2,1,3,Returning_Visitor,False,True
4539,4,36.0,0,0.0,28,708.9166667,0.0,0.003846154,0.0,0.0,May,2,6,1,3,New_Visitor,False,False
8329,1,18.0,0,0.0,24,1332.25,0.0,0.008695652,0.0,0.0,Dec,2,2,1,2,New_Visitor,False,False
6473,6,82.01111111,2,211.6,162,6117.814359,0.0,,22.36033441,0.0,Sep,2,2,1,6,Returning_Visitor,False,False
5499,1,57.4,0,0.0,6,303.1,0.028571429,,0.0,0.0,June,1,2,3,2,Returning_Visitor,False,False
6202,0,0.0,0,0.0,5,150.8,0.0,0.02,0.0,0.0,Aug,1,1,1,2,Returning_Visitor,False,False
11537,12,1028.833333,1,3.0,155,6794.735417,0.002469136,0.015526696,3.726530231,0.0,Nov,2,2,1,2,Returning_Visitor,False,True
9230,0,0.0,0,0.0,2,35.5,0.0,,0.0,0.0,Dec,2,6,1,11,Returning_Visitor,True,False
8629,15,677.1911765,0,0.0,152,3561.130212,0.0,0.008686559,5.731607803,0.0,Dec,2,2,6,1,Returning_Visitor,False,True
5999,0,0.0,0,0.0,32,1028.566667,0.0125,0.015625,0.0,0.0,Aug,1,1,6,3,Returning_Visitor,True,False
3012,0,0.0,0,0.0,5,105.0,0.04,0.06,0.0,0.0,May,2,2,1,13,Returning_Visitor,False,False
